
"[38.9342776, -77.1774801]"
"[33.8358492, -118.3406288]"
"[33.6694649, -117.8231107]"
"[33.6694649, -117.8231107]"
"[33.8358492, -118.3406288]"
"[33.6694649, -117.8231107]"
"[46.7323875, -117.0001651]"
"[47.6776832, -116.7804664]"
"[41.850033, -87.6500523]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[33.4483771, -112.0740373]"
"[39.5349112, -119.7526886]"
"[45.1823423, -122.8078718]"
"[45.1823423, -122.8078718]"
"[39.9975415, -85.7466439]"
"[43.6121087, -116.3915131]"
"[32.7830556, -96.8066667]"
"[33.6356618, -96.6088805]"
"[26.1223084, -80.1433786]"
"[33.0198431, -96.6988856]"
"[26.9297836, -82.0453664]"
"[45.4262617, -117.2787815]"
"[37.8397626, -94.7082951]"
"[37.8397626, -94.7082951]"
"[25.8631515, -80.1928253]"







"[29.7030024, -98.1244531]"

"[37.247206, -112.664377]"
"[30.267153, -97.7430608]"
"[45.3565074, -122.840098]"
"[32.7830556, -96.8066667]"

"[43.4252776, -88.1834277]"
"[43.6121087, -116.3915131]"
"[43.6121087, -116.3915131]"
"[46.7323875, -117.0001651]"
"[43.0605671, -88.1064787]"
"[46.7323875, -117.0001651]"
"[34.6890095, -82.1956679]"
"[39.0770072, -84.1768795]"
"[43.4252776, -88.1834277]"
"[40.1226101, -75.0635049]"

"[40.4275693, -79.9939418]"
"[45.5607986, -94.1624895]"
"[35.9250637, -86.86889]"
"[39.6477653, -104.9877597]"
"[39.6477653, -104.9877597]"
"[35.9250637, -86.86889]"
"[45.159967, -92.9932734]"
"[34.0522342, -118.2436849]"
"[34.0522342, -118.2436849]"
"[34.0522342, -118.2436849]"
"[34.0522342, -118.2436849]"

"[38.6272733, -90.1978889]"
"[38.6272733, -90.1978889]"
"[39.0437192, -77.4874899]"
"[34.0522342, -118.2436849]"
"[42.0333608, -88.0834059]"
"[39.0916586, -104.872758]"


"[39.1156615, -77.5636015]"
"[30.4507462, -91.154551]"
"[39.1156615, -77.5636015]"
"[33.5092103, -111.8990327]"
"[38.8951118, -77.0363658]"
"[39.1156615, -77.5636015]"

"[34.0966764, -117.7197785]"
"[33.5092103, -111.8990327]"
"[40.9995386, -75.1812913]"
"[33.5092103, -111.8990327]"

"[38.8951118, -77.0363658]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"

"[38.8951118, -77.0363658]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[38.8951118, -77.0363658]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"
"[39.1156615, -77.5636015]"
"[34.7303688, -86.5861037]"
"[39.1156615, -77.5636015]"
"[39.1156615, -77.5636015]"
"[33.5092103, -111.8990327]"
"[33.5092103, -111.8990327]"

"[36.1749705, -115.137223]"
"[43.4252776, -88.1834277]"
"[28.0836269, -80.6081089]"
"[27.5214269, -82.5723193]"
"[27.5214269, -82.5723193]"
"[27.5214269, -82.5723193]"
"[27.5214269, -82.5723193]"
"[27.5214269, -82.5723193]"
"[48.3933561, -105.8822326]"
"[48.3933561, -105.8822326]"
"[33.6948279, -97.5225245]"
"[45.0860765, -93.2632821]"
"[32.8406946, -83.6324022]"



"[38.0682554, -120.5396457]"
"[39.0250683, -83.5329731]"
"[29.4241219, -98.4936282]"
"[27.3364347, -82.5306527]"
"[27.3364347, -82.5306527]"
"[27.3364347, -82.5306527]"
"[27.3364347, -82.5306527]"
"[36.3320197, -94.1185366]"
"[32.725409, -97.3208496]"
"[40.8501002, -73.8662464]"
"[34.4954448, -77.5549696]"

"[41.7898313, -69.9897397]"

"[34.1477849, -118.1445155]"
"[40.9312099, -73.8987469]"
"[40.7142691, -74.0059729]"
"[42.3442482, -75.1704468]"
"[40.8501002, -73.8662464]"
"[35.9606384, -83.9207392]"


"[42.245869, -84.4013462]"
"[38.8951118, -77.0363658]"
"[38.8951118, -77.0363658]"
"[39.579155, -104.8769227]"
"[39.579155, -104.8769227]"
"[35.780987, -78.3697213]"
"[33.6189101, -117.9289469]"
"[34.0522342, -118.2436849]"
"[39.9956193, -82.6743341]"
"[40.5852602, -105.084423]"
"[43.5009176, -70.4428286]"
"[33.6189101, -117.9289469]"
"[33.660297, -117.9992265]"
"[33.660297, -117.9992265]"
"[34.1480621, -117.9989548]"
"[34.1480621, -117.9989548]"
"[32.7830556, -96.8066667]"
"[33.6694649, -117.8231107]"
"[33.6694649, -117.8231107]"

"[32.7153292, -117.1572551]"
"[35.1740471, -79.3922539]"
"[38.4087993, -121.3716178]"
"[38.9342776, -77.1774801]"
"[38.6122751, -90.4634532]"
"[26.7153425, -80.0533746]"

"[41.6005448, -93.6091064]"
"[39.9611755, -82.9987942]"
"[35.772096, -78.6386145]"
"[37.7396513, -121.4252227]"

"[37.6624312, -121.8746789]"

"[35.1916356, -117.5767246]"
"[37.3393857, -121.8949555]"
"[33.4483771, -112.0740373]"
"[32.7830556, -96.8066667]"
"[46.7323875, -117.0001651]"
"[36.0396988, -114.9819368]"
"[38.9784453, -76.4921829]"
"[43.5342379, -72.3562023]"
"[46.7323875, -117.0001651]"

"[33.6694649, -117.8231107]"
"[32.2217429, -110.926479]"
"[45.5234515, -122.6762071]"
"[38.8338816, -104.8213634]"
"[26.1223084, -80.1433786]"
"[33.660297, -117.9992265]"
"[41.0031141, -80.7856355]"

"[33.6189101, -117.9289469]"
"[38.8890009, -77.0002537]"
"[38.8951118, -77.0363658]"
"[29.7857853, -95.8243956]"
"[45.5863499, -92.9746598]"
"[46.9215603, -116.8982195]"

"[47.1412122, -122.2701183]"

"[32.7830556, -96.8066667]"
"[35.4675602, -97.5164276]"
"[39.977763, -105.1319296]"

"[40.0378755, -76.3055144]"
"[46.7323875, -117.0001651]"
"[34.1705556, -118.8375]"
"[37.5537575, -77.4602617]"
